regime,seed,round,client_id,simulated_malicious,bandwidth_kbps,energy_fraction,queue_depth,scheduled,evidence_quality,trust_score,accepted,reputation_before,reputation_after
Edge-IIoTset-calibrated,11,1,0,0,500.35580504292534,0.6570480528868912,1,1,0.43119151314806414,0.6161004355221869,1,0.75,0.6926144723666515
Edge-IIoTset-calibrated,11,1,1,0,724.6385452002052,0.30235610685132014,0,1,0.4925099108477998,0.6418541625560759,1,0.75,0.703651783952604
Edge-IIoTset-calibrated,11,1,2,0,1072.3480537352514,0.669590636889128,2,1,0.4830512127829498,0.6378815093688388,1,0.75,0.7019492183009309
Edge-IIoTset-calibrated,11,1,3,0,1085.9363239023844,0.8777011184079901,3,1,0.4081474532625203,0.6064219303702585,1,0.75,0.6884665415872536
Edge-IIoTset-calibrated,11,1,4,0,881.5566959465133,0.18733452775126166,6,0,0.0,0.0,0,0.75,0.74625
Edge-IIoTset-calibrated,11,1,5,1,271.09850030843745,0.4853243737812403,1,1,0.02350294662237277,0.4448712375813965,1,0.75,0.6192305303920271
Edge-IIoTset-calibrated,11,1,6,0,319.60968734529365,0.4977766804310559,3,1,0.5316359715673464,0.6582871080582855,1,0.75,0.7106944748821223
Edge-IIoTset-calibrated,11,1,7,0,672.6508071230528,0.2194388576248782,3,0,0.0,0.0,0,0.75,0.74625
Edge-IIoTset-calibrated,11,1,8,0,700.5205969286562,0.5328539233875452,4,1,0.5560973168541864,0.6685608730787582,1,0.75,0.7150975170337536
Edge-IIoTset-calibrated,11,1,9,0,521.8830294376678,0.7306439433390415,2,1,0.5108603617623586,0.6495613519401906,1,0.75,0.7069548651172245
Edge-IIoTset-calibrated,11,1,10,0,423.17570365492094,0.3549820738683097,3,1,0.646982671875884,0.7067327221878712,1,0.75,0.7314568809376591
Edge-IIoTset-calibrated,11,1,11,0,774.6181029435417,0.9381946355533886,4,1,0.5239399420477813,0.6550547756600681,1,0.75,0.7093091895686006
Edge-IIoTset-calibrated,11,1,12,0,533.3311468873147,0.7594933834938429,4,1,0.43147145360986205,0.616218010516142,1,0.75,0.6926648616497751
Edge-IIoTset-calibrated,11,1,13,0,702.6921490446526,0.6604953625320238,2,1,0.573869364753807,0.6760251331965988,1,0.75,0.7182964856556853
Edge-IIoTset-calibrated,11,1,14,1,864.6089156849752,0.21390599639947186,4,0,0.0,0.0,0,0.75,0.74625
Edge-IIoTset-calibrated,11,1,15,0,353.9713861683711,0.7366220678635016,2,1,0.5017490561548968,0.6457346035850566,1,0.75,0.7053148301078814
Edge-IIoTset-calibrated,11,1,16,0,231.36591554359617,0.894003735392263,4,1,0.4626114943563235,0.6292968276296558,1,0.75,0.6982700689841382
Edge-IIoTset-calibrated,11,1,17,0,380.8942833473376,0.4472862373072924,2,1,0.36381562005778656,0.5878025604242703,1,0.75,0.6804868116104016
Edge-IIoTset-calibrated,11,1,18,0,367.98874084209484,0.6502961105114553,2,1,0.5611002142983488,0.6706620900053064,1,0.75,0.7159980385737028
Edge-IIoTset-calibrated,11,1,19,0,761.4016098649523,0.8069857253028989,4,1,0.564264036180763,0.6719908951959204,1,0.75,0.7165675265125373
Edge-IIoTset-calibrated,11,2,0,0,715.1217277286892,0.5392849049336822,3,1,0.42600690250092926,0.5806392930230482,1,0.6926144723666515,0.6446251097908214
Edge-IIoTset-calibrated,11,2,1,0,570.9614907186673,0.8391476617129261,1,1,0.4872445816637817,0.6127607589912986,1,0.703651783952604,0.6646984875406159
Edge-IIoTset-calibrated,11,2,2,0,328.17788521270086,0.7130744020182349,5,1,0.49283166259075006,0.6141198449026549,1,0.7019492183009309,0.6643080582730984
Edge-IIoTset-calibrated,11,2,3,0,88.94814687213334,0.29653574462386756,3,0,0.0,0.0,0,0.6884665415872536,0.6856395434634448
Edge-IIoTset-calibrated,11,2,4,0,396.5975974456175,0.566874742866203,1,1,0.4605990930638027,0.6262766190867971,1,0.74625,0.6948328367514844
Edge-IIoTset-calibrated,11,2,5,1,749.5482535632873,0.8130540905799633,1,1,0.0315842688342168,0.37241910053774674,0,0.6192305303920271,0.5108958775360497
Edge-IIoTset-calibrated,11,2,6,0,349.13294596206293,0.3527813993961414,4,1,0.5328474704885914,0.6359987330368393,1,0.7106944748821223,0.6786820140912867
Edge-IIoTset-calibrated,11,2,7,0,378.3975779583665,0.9913686201775109,4,1,0.5303377707756092,0.6555668637257558,1,0.74625,0.7073857987396096
Edge-IIoTset-calibrated,11,2,8,0,1168.1968189140466,0.3342335394014351,5,1,0.5497214364015761,0.645639563168239,1,0.7150975170337536,0.6853298225199616
Edge-IIoTset-calibrated,11,2,9,0,783.1047680560428,0.5300085217058037,6,1,0.5246830203659213,0.6304006903216771,1,0.7069548651172245,0.6741459330619899
Edge-IIoTset-calibrated,11,2,10,0,817.3080213504599,0.3855910764023034,4,1,0.6431827795603953,0.6943817583592082,1,0.7314568809376591,0.7155675426897516
Edge-IIoTset-calibrated,11,2,11,0,423.2060837323763,0.48042201638174936,3,1,0.540439157445506,0.6383837760769008,1,0.7093091895686006,0.6789125837864435
Edge-IIoTset-calibrated,11,2,12,0,375.48423847219954,0.7808502739782395,0,1,0.4415159164867578,0.5871823046813078,1,0.6926648616497751,0.647458051520432
Edge-IIoTset-calibrated,11,2,13,0,831.6293922368799,0.22483665972678102,5,0,0.0,0.0,0,0.7182964856556853,0.7150220383708499
Edge-IIoTset-calibrated,11,2,14,1,483.0984569149851,0.2564311802873208,3,1,0.025873735754990204,0.44369196901709584,1,0.74625,0.6165822724358981
Edge-IIoTset-calibrated,11,2,15,0,394.79009356188055,0.352833511839279,6,1,0.5108278028016758,0.623630278639275,1,0.7053148301078814,0.6703071651927643
Edge-IIoTset-calibrated,11,2,16,0,520.4360368805203,0.2777196024209757,1,1,0.4592507769128018,0.5978819663141769,1,0.6982700689841382,0.6552465964112977
Edge-IIoTset-calibrated,11,2,17,0,519.4594489868326,0.3837759540667885,1,1,0.3606751268561661,0.5461659040136226,1,0.6804868116104016,0.6229207083546392
Edge-IIoTset-calibrated,11,2,18,0,743.8886110024914,0.5885019709446149,2,1,0.5388842836017069,0.6416102614854645,1,0.7159980385737028,0.6841175626787435
Edge-IIoTset-calibrated,11,2,19,0,528.3265214047731,0.7520751812675766,6,1,0.5720696023809722,0.6558783983772799,1,0.7165675265125373,0.6905579001688555
Edge-IIoTset-calibrated,11,3,0,0,327.555407739164,0.5435269044079241,1,1,0.43814600992901465,0.5579038878488626,1,0.6446251097908214,0.6074588718156962
Edge-IIoTset-calibrated,11,3,1,0,417.12235815855547,0.4917502643123177,2,1,0.5017490561548968,0.5962597263586139,1,0.6646984875406159,0.6353675898911865
Edge-IIoTset-calibrated,11,3,2,0,610.8091862551122,0.7479730078272318,3,1,0.4907911947569943,0.5914309755963346,1,0.6643080582730984,0.6330750228401996
Edge-IIoTset-calibrated,11,3,3,0,777.874392936681,0.684741096449986,3,1,0.40921559341901864,0.5695414844447858,1,0.6856395434634448,0.6358832324554481
Edge-IIoTset-calibrated,11,3,4,0,287.95974404839325,0.6811531305353562,4,1,0.4591534772272663,0.5958475057513128,1,0.6948328367514844,0.6524105520371251
Edge-IIoTset-calibrated,11,3,5,1,488.93495745106895,0.688437613249234,4,1,0.0255394636079567,0.30704618368625064,0,0.5108958775360497,0.42146302647674844
Edge-IIoTset-calibrated,11,3,6,0,700.9420732358785,0.5883595668595054,3,1,0.5453241147610869,0.6226716963726028,1,0.6786820140912867,0.6546775922118506
Edge-IIoTset-calibrated,11,3,7,0,1490.6620355855214,0.21396979680907474,2,0,0.0,0.0,0,0.7073857987396096,0.7042750117585154
Edge-IIoTset-calibrated,11,3,8,0,861.254220929509,0.38949328568390656,3,1,0.5447215203319493,0.6262743356009963,1,0.6853298225199616,0.6600203281261192
Edge-IIoTset-calibrated,11,3,9,0,373.383995436408,0.2841338535258891,3,1,0.5261389331213995,0.6119829930869419,1,0.6741459330619899,0.6475046730726836
Edge-IIoTset-calibrated,11,3,10,0,448.6258803094333,0.5177323880412216,5,1,0.6268513260587302,0.6783067317047226,1,0.7155675426897516,0.6995986236961677
Edge-IIoTset-calibrated,11,3,11,0,563.1910505857251,0.7023528332211415,4,1,0.5391386447965429,0.6202075294106852,1,0.6789125837864435,0.6537532747682613
Edge-IIoTset-calibrated,11,3,12,0,621.0462229135337,0.850083169359432,2,1,0.445550917683979,0.5626570553091217,1,0.647458051520432,0.6111147674298705
Edge-IIoTset-calibrated,11,3,13,0,422.52526984044084,0.5678777548323881,2,1,0.5694962797734422,0.6539012197599386,1,0.7150220383708499,0.6888274018233165
Edge-IIoTset-calibrated,11,3,14,1,247.56377199390658,0.7898433608574358,1,1,0.026802773289613425,0.3688748827944585,0,0.6165822724358981,0.5082509379531083
Edge-IIoTset-calibrated,11,3,15,0,714.8497139518689,0.34767119712180883,1,1,0.5062729289228781,0.601412785959412,1,0.6703071651927643,0.6407810026641848
Edge-IIoTset-calibrated,11,3,16,0,1221.6676719388845,0.8310867088260636,1,1,0.4728037827481043,0.5786206146727564,1,0.6552465964112977,0.6224068899519228
