regime,seed,client_id,split,class_id,n_events,client_class_probability
Edge-IIoTset-calibrated,11,0,train,0,59,0.15916087379620078
Edge-IIoTset-calibrated,11,0,train,1,66,0.1652383636689942
Edge-IIoTset-calibrated,11,0,train,2,26,0.07573085264260869
Edge-IIoTset-calibrated,11,0,train,3,40,0.11513349420897735
Edge-IIoTset-calibrated,11,0,train,4,121,0.3381131394351694
Edge-IIoTset-calibrated,11,0,train,5,24,0.06649643761546835
Edge-IIoTset-calibrated,11,0,train,6,24,0.08012683863258113
Edge-IIoTset-calibrated,11,0,test,0,29,0.15916087379620078
Edge-IIoTset-calibrated,11,0,test,1,24,0.1652383636689942
Edge-IIoTset-calibrated,11,0,test,2,13,0.07573085264260869
Edge-IIoTset-calibrated,11,0,test,3,18,0.11513349420897735
Edge-IIoTset-calibrated,11,0,test,4,73,0.3381131394351694
Edge-IIoTset-calibrated,11,0,test,5,9,0.06649643761546835
Edge-IIoTset-calibrated,11,0,test,6,14,0.08012683863258113
Edge-IIoTset-calibrated,11,1,train,0,59,0.14955459746241256
Edge-IIoTset-calibrated,11,1,train,1,39,0.10483824738840229
Edge-IIoTset-calibrated,11,1,train,2,13,0.046387188643704724
Edge-IIoTset-calibrated,11,1,train,3,27,0.09742807198824537
Edge-IIoTset-calibrated,11,1,train,4,61,0.18778553075442778
Edge-IIoTset-calibrated,11,1,train,5,24,0.06053386567991448
Edge-IIoTset-calibrated,11,1,train,6,137,0.3534724980828929
Edge-IIoTset-calibrated,11,1,test,0,28,0.14955459746241256
Edge-IIoTset-calibrated,11,1,test,1,17,0.10483824738840229
Edge-IIoTset-calibrated,11,1,test,2,7,0.046387188643704724
Edge-IIoTset-calibrated,11,1,test,3,23,0.09742807198824537
Edge-IIoTset-calibrated,11,1,test,4,43,0.18778553075442778
Edge-IIoTset-calibrated,11,1,test,5,10,0.06053386567991448
Edge-IIoTset-calibrated,11,1,test,6,52,0.3534724980828929
Edge-IIoTset-calibrated,11,2,train,0,99,0.2776108440293897
Edge-IIoTset-calibrated,11,2,train,1,108,0.2272947742323792
Edge-IIoTset-calibrated,11,2,train,2,9,0.06224943454012365
Edge-IIoTset-calibrated,11,2,train,3,11,0.030572301347088347
Edge-IIoTset-calibrated,11,2,train,4,95,0.2801995333955157
Edge-IIoTset-calibrated,11,2,train,5,21,0.05215697304339402
Edge-IIoTset-calibrated,11,2,train,6,17,0.06991613941210945
Edge-IIoTset-calibrated,11,2,test,0,47,0.2776108440293897
Edge-IIoTset-calibrated,11,2,test,1,39,0.2272947742323792
Edge-IIoTset-calibrated,11,2,test,2,7,0.06224943454012365
