regime,seed,round,method,training_events_consumed,accuracy_pct,macro_f1_pct,auc_pct,accepted_clients,evidence_status,model_boundary
Edge-IIoTset-calibrated,11,1,FedAvg,240,95.0,94.94047090318558,96.73444195733263,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,1,FedProx,240,94.72222222222221,94.59588163351192,97.78505479758628,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,1,TrustAgent-IIoT,240,97.55555555555556,97.45036527041452,98.58601419487695,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,2,FedAvg,480,95.36111111111111,95.31058108057324,96.86326065184576,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,2,FedProx,480,95.13888888888889,94.97347698970268,98.06095598032722,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,2,TrustAgent-IIoT,480,97.86111111111111,97.7496477537817,98.7812278812634,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,3,FedAvg,720,95.08333333333333,95.04887148447106,96.79413539862436,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,3,FedProx,720,95.16666666666667,94.9992858919149,98.13827201759281,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,3,TrustAgent-IIoT,720,98.05555555555556,97.97727018669681,98.76463947519413,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,4,FedAvg,960,95.16666666666667,95.10577050794005,96.7967001895877,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,4,FedProx,960,95.27777777777777,95.13073483130154,98.10838392935077,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,4,TrustAgent-IIoT,960,98.22222222222223,98.16304360758564,98.79665799463959,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,5,FedAvg,1200,95.19444444444444,95.12126508304038,96.81159252421348,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,5,FedProx,1200,95.19444444444444,95.02496136206533,98.10945948685152,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,5,TrustAgent-IIoT,1200,98.25,98.20479521547118,98.80464194070287,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,6,FedAvg,1440,95.08333333333333,94.9744510210355,96.83446880490256,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,6,FedProx,1440,95.13888888888889,94.96990193144808,98.0706153140359,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,6,TrustAgent-IIoT,1440,98.25,98.18283387793065,98.81990658369429,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,7,FedAvg,1680,95.11111111111111,95.00845407169936,96.84481070394824,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,7,FedProx,1680,95.08333333333333,94.89343267587083,98.02902019607413,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,7,TrustAgent-IIoT,1680,98.25,98.17358307922377,98.79500329079227,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,8,FedAvg,1920,95.08333333333333,94.98929053494429,96.84609309942991,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,8,FedProx,1920,95.11111111111111,94.93904242072036,98.1044540077134,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,8,TrustAgent-IIoT,1920,98.11111111111111,98.01405056690356,98.80472467589523,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,9,FedAvg,2160,95.16666666666667,95.08720789873395,96.83504795124912,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,9,FedProx,2160,95.11111111111111,94.95619025567986,98.1075772612252,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,9,TrustAgent-IIoT,2160,98.19444444444444,98.10580967978632,98.81692811676915,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,10,FedAvg,2400,95.19444444444444,95.12577521636362,96.89093557369203,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,10,FedProx,2400,95.22222222222221,95.07003030882517,98.0689399263905,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,10,TrustAgent-IIoT,2400,98.19444444444444,98.10841961482147,98.81779683628898,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,11,FedAvg,2640,95.08333333333333,95.02113314775814,96.9234091366955,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,11,FedProx,2640,95.11111111111111,94.97656846260962,98.10557093281034,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,11,TrustAgent-IIoT,2640,98.22222222222223,98.13530605923575,98.81121938849591,15,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,12,FedAvg,2880,95.11111111111111,95.0440270066977,96.89345899705918,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
Edge-IIoTset-calibrated,11,12,FedProx,2880,95.19444444444444,95.07153402535192,98.11115555829501,20,observed_in_simulator,incremental prefix refit on generated training events; fixed held-out generated test partition
