regime,seed,client_id,split,n_events,n_features,class_counts,sha256_features_plus_labels
Edge-IIoTset-calibrated,11,0,train,360,12,"[59,66,26,40,121,24,24]",0ffdbfbabf2db5f5fcd3d0a59c50a79a24ee0244fe65e6d05b0eb974cc6b8e36
Edge-IIoTset-calibrated,11,0,test,180,12,"[29,24,13,18,73,9,14]",3b36413ca62aff08de5d1ce75d78105fbd96449016a99b224e8f574041d74662
Edge-IIoTset-calibrated,11,1,train,360,12,"[59,39,13,27,61,24,137]",594830289fd66e1d0e6a5d37c3bffda891ecdb008a3eeb34a8e2b779cff4b8b6
Edge-IIoTset-calibrated,11,1,test,180,12,"[28,17,7,23,43,10,52]",f3c4dd6dba9e5b2994e2cb9c9eb84fbcc0a313b0b0daf11aa4e85480f343c0ad
Edge-IIoTset-calibrated,11,2,train,360,12,"[99,108,9,11,95,21,17]",336d740d7276d8f7a1099625918659d115a498c7a0c14941953e6e7f94a04d16
Edge-IIoTset-calibrated,11,2,test,180,12,"[47,39,7,4,61,11,11]",4274357b710afb0c090046cac9a06a4c38526482dfdc321c539e2621d4773ba1
Edge-IIoTset-calibrated,11,3,train,360,12,"[131,80,44,36,49,10,10]",43051b54c9522e7004ae00dbc1e5a6ae4a2be88261a86406901dcf0657f254db
Edge-IIoTset-calibrated,11,3,test,180,12,"[69,23,26,29,19,5,9]",3e93b24ad25307e563e5a4b26238a88e1c97bef14268e7a4c777cb407a91dcd8
Edge-IIoTset-calibrated,11,4,train,360,12,"[102,38,47,30,41,73,29]",d19ae0f6204631b9b216c7d2d8c647af04c92943d1c1dc7bfe3d924e4cc9b3d5
Edge-IIoTset-calibrated,11,4,test,180,12,"[54,23,30,19,18,28,8]",27a61eec724163392c270e422f1d5aebd4e2906d5c0928405ae8ac43ccc80467
Edge-IIoTset-calibrated,11,5,train,360,12,"[50,12,38,34,34,93,99]",0f9aa3ca4a08cc3964342d55e16b5b7a7c8f8f4faa32928b56d996b4ff13e4e5
Edge-IIoTset-calibrated,11,5,test,180,12,"[22,5,18,19,22,52,42]",c20d90861b1908af27d1576af38465dad438ab3bdbebeb99d8e05f0ec4ca8138
Edge-IIoTset-calibrated,11,6,train,360,12,"[107,20,75,9,35,52,62]",ecef80faf046ae8f904444747c1f23ff1c8354a45c81c09357c2d5e9204c3872
Edge-IIoTset-calibrated,11,6,test,180,12,"[43,9,41,10,24,31,22]",848ff6a145f568d798e393d38d847e28a7e8976a8c6e5a0ae2d23b35e4cf6ae2
Edge-IIoTset-calibrated,11,7,train,360,12,"[21,115,28,73,74,26,23]",94b329e931aaa3bd1c843ac866a4d8bed6f3f61d0491986564e27d1c576baa2a
Edge-IIoTset-calibrated,11,7,test,180,12,"[13,44,20,41,37,14,11]",1ab692867a123b8fb98ee2eb0b7e7b46a3f4923ca0bbdb3a566f2697f6599493
Edge-IIoTset-calibrated,11,8,train,360,12,"[105,19,60,40,78,21,37]",8ff817decb11b48e5e087841a6fa0c68eb2d5b0065d08825907dc8587f9637dc
Edge-IIoTset-calibrated,11,8,test,180,12,"[49,11,33,24,40,6,17]",930f056f7cd380d7ce58b238184d9e669ca26d818622c239b89fc92d9bfdeaa7
Edge-IIoTset-calibrated,11,9,train,360,12,"[56,85,22,45,67,67,18]",af58be5e3711407f087739324105ebb12236638ec82ea40d375fbf28c448de8d
Edge-IIoTset-calibrated,11,9,test,180,12,"[34,49,10,21,28,28,10]",3e93aad65379541aedabdf52aa8518ca511c9d2fa3510d20afb46fbe84dee88d
Edge-IIoTset-calibrated,11,10,train,360,12,"[116,24,48,41,50,31,50]",20ce617a16d10eb8d84617b4619cd4c8da967734810bd0d5f0ebd38f83485ec3
Edge-IIoTset-calibrated,11,10,test,180,12,"[54,12,22,17,26,14,35]",94218dc425ea94461d7fec112f9350a64b74c53ed7c871dca5ea19b0fc0773d4
Edge-IIoTset-calibrated,11,11,train,360,12,"[93,72,50,52,12,30,51]",6b6374e763c7bb434d7ab8f7b16371e174d68aafa271825a67e33feb82ce1486
Edge-IIoTset-calibrated,11,11,test,180,12,"[46,44,30,27,3,9,21]",0d10fdf256683505545f6b207259192d05eaea2e0bd56f9f5030ee6f84c88b0e
Edge-IIoTset-calibrated,11,12,train,360,12,"[79,42,98,17,39,58,27]",40e0877a37e1717205d824166653d065b19e68ecc5cf8153f16642f11804ad91
Edge-IIoTset-calibrated,11,12,test,180,12,"[35,18,49,3,23,30,22]",f45bbb7ab5fe1c7ba59b4ffd7e84c329cefb1eac7cdda44d6beef385b0cd900c
Edge-IIoTset-calibrated,11,13,train,360,12,"[103,22,40,26,21,81,67]",7603b16a009b0269d6f2af4c998ada223a65ea48e43589f36ef53b37b72068b4
Edge-IIoTset-calibrated,11,13,test,180,12,"[60,14,21,13,9,37,26]",250574b3d11e45540f92323d546a520af30078f9ac7d5fdefe42039974bb58df
Edge-IIoTset-calibrated,11,14,train,360,12,"[117,43,11,70,9,37,73]",44aa560c024d7e704a7516d20260e2c3cd49924bce007881db75c904059ed00f
Edge-IIoTset-calibrated,11,14,test,180,12,"[66,18,4,37,3,20,32]",be6d359149a911accfdf81d89f5f1b6464059213c7d4258cbf9bb1c3d66c6835
Edge-IIoTset-calibrated,11,15,train,360,12,"[117,68,15,23,44,66,27]",3a68052b59ff8a700f340ca35327761cd718bc127389fb29c1f2f8a4c6e6c2d4
